Country,Code,Year,Maize_Prod_Tones
Afghanistan,AFG,1993,470000
Afghanistan,AFG,1994,500000
Afghanistan,AFG,1995,530000
Afghanistan,AFG,1996,360000
Afghanistan,AFG,1997,300000
Afghanistan,AFG,1998,330000
Afghanistan,AFG,1999,240000
Afghanistan,AFG,2000,115000
Afghanistan,AFG,2001,160000
Afghanistan,AFG,2002,298000
Afghanistan,AFG,2003,210000
Afghanistan,AFG,2004,400000
Afghanistan,AFG,2005,315000
Afghanistan,AFG,2006,359000
Afghanistan,AFG,2007,360000
Afghanistan,AFG,2008,360000
Afghanistan,AFG,2009,300000
Afghanistan,AFG,2010,301000
Afghanistan,AFG,2011,300120
Afghanistan,AFG,2012,310000
Afghanistan,AFG,2013,312000
Afghanistan,AFG,2014,316000
Afghanistan,AFG,2015,316000
Afghanistan,AFG,2016,311646
Afghanistan,AFG,2017,173912
Afghanistan,AFG,2018,106670
Albania,ALB,1993,175751
Albania,ALB,1994,193261
Albania,ALB,1995,215566
Albania,ALB,1996,214059
Albania,ALB,1997,194818
Albania,ALB,1998,189130
Albania,ALB,1999,206000
Albania,ALB,2000,205700
Albania,ALB,2001,198300
Albania,ALB,2002,197300
Albania,ALB,2003,206900
Albania,ALB,2004,216200
Albania,ALB,2005,219900
Albania,ALB,2006,245400
Albania,ALB,2007,215900
Albania,ALB,2008,245000
Albania,ALB,2009,265100
Albania,ALB,2010,362000
Albania,ALB,2011,366400
Albania,ALB,2012,360000
Albania,ALB,2013,372000
Albania,ALB,2014,380000
Albania,ALB,2015,380000
Albania,ALB,2016,379714
Albania,ALB,2017,381059
Albania,ALB,2018,391104
Algeria,DZA,1993,225
Algeria,DZA,1994,185
Algeria,DZA,1995,419
Algeria,DZA,1996,446
Algeria,DZA,1997,257
Algeria,DZA,1998,310
Algeria,DZA,1999,537
Algeria,DZA,2000,1556
Algeria,DZA,2001,1087
Algeria,DZA,2002,837
Algeria,DZA,2003,981
Algeria,DZA,2004,679
Algeria,DZA,2005,1148
Algeria,DZA,2006,2456
Algeria,DZA,2007,1644
Algeria,DZA,2008,1015
Algeria,DZA,2009,575
Algeria,DZA,2010,359
Algeria,DZA,2011,575
Algeria,DZA,2012,1755
Algeria,DZA,2013,1245
Algeria,DZA,2014,2572
Algeria,DZA,2015,2794
Algeria,DZA,2016,3687
Algeria,DZA,2017,2634
Algeria,DZA,2018,4142
Angola,AGO,1993,275000
Angola,AGO,1994,201000
Angola,AGO,1995,211000
Angola,AGO,1996,398158
Angola,AGO,1997,369505
Angola,AGO,1998,504662
Angola,AGO,1999,428045
Angola,AGO,2000,394607
Angola,AGO,2001,428769
Angola,AGO,2002,546860
Angola,AGO,2003,618684
Angola,AGO,2004,577000
Angola,AGO,2005,734372
Angola,AGO,2006,526084
Angola,AGO,2007,615894
Angola,AGO,2008,702387
Angola,AGO,2009,970231
Angola,AGO,2010,1072737
Angola,AGO,2011,1262222
Angola,AGO,2012,454343
Angola,AGO,2013,1548750
Angola,AGO,2014,1686869
Angola,AGO,2015,1878305
Angola,AGO,2016,2255000
Angola,AGO,2017,2680000
Angola,AGO,2018,2271102
Argentina,ARG,1993,10901000
Argentina,ARG,1994,10360000
Argentina,ARG,1995,11404041
Argentina,ARG,1996,10518290
Argentina,ARG,1997,15536820
Argentina,ARG,1998,19360656
Argentina,ARG,1999,13504100
Argentina,ARG,2000,16780650
Argentina,ARG,2001,15359397
Argentina,ARG,2002,14712079
Argentina,ARG,2003,15044529
Argentina,ARG,2004,14950825
Argentina,ARG,2005,20482572
Argentina,ARG,2006,14445538
Argentina,ARG,2007,21755364
Argentina,ARG,2008,22016926
Argentina,ARG,2009,13121380
Argentina,ARG,2010,22663095
Argentina,ARG,2011,23799830
Argentina,ARG,2012,21196637
Argentina,ARG,2013,32119211
Argentina,ARG,2014,33087165
Argentina,ARG,2015,33817744
Argentina,ARG,2016,39792854
Argentina,ARG,2017,49475895
Argentina,ARG,2018,43462323
Armenia,ARM,1993,3910
Armenia,ARM,1994,4900
Armenia,ARM,1995,4200
Armenia,ARM,1996,4381
Armenia,ARM,1997,9565
Armenia,ARM,1998,5738
Armenia,ARM,1999,11450
Armenia,ARM,2000,5915
Armenia,ARM,2001,9865
Armenia,ARM,2002,12156
Armenia,ARM,2003,15241
Armenia,ARM,2004,19322
Armenia,ARM,2005,14127
Armenia,ARM,2006,8421
Armenia,ARM,2007,18860
Armenia,ARM,2008,21172
Armenia,ARM,2009,15232
Armenia,ARM,2010,12751
Armenia,ARM,2011,19120
Armenia,ARM,2012,19131
Armenia,ARM,2013,20906
Armenia,ARM,2014,20158
Armenia,ARM,2015,21720
Armenia,ARM,2016,21026
Armenia,ARM,2017,10413
Armenia,ARM,2018,7615
Australia,AUS,1993,198766
Australia,AUS,1994,204095
Australia,AUS,1995,242370
Australia,AUS,1996,325000
Australia,AUS,1997,398000
Australia,AUS,1998,271000
Australia,AUS,1999,338000
Australia,AUS,2000,406043
Australia,AUS,2001,344934
Australia,AUS,2002,453853
Australia,AUS,2003,310049
Australia,AUS,2004,394990
Australia,AUS,2005,419672
Australia,AUS,2006,361991
Australia,AUS,2007,239879
Australia,AUS,2008,387000
Australia,AUS,2009,375670
Australia,AUS,2010,328000
Australia,AUS,2011,356943
Australia,AUS,2012,450535
Australia,AUS,2013,506725
Australia,AUS,2014,390364
Australia,AUS,2015,494589
Australia,AUS,2016,400032
Australia,AUS,2017,436194
Australia,AUS,2018,387240
Austria,AUT,1993,1524487
Austria,AUT,1994,1420645
Austria,AUT,1995,1473492
Austria,AUT,1996,1735568
Austria,AUT,1997,1841681
Austria,AUT,1998,1645607
Austria,AUT,1999,1699939
Austria,AUT,2000,1851728
Austria,AUT,2001,1771081
Austria,AUT,2002,1955595
Austria,AUT,2003,1707771
Austria,AUT,2004,1944882
Austria,AUT,2005,2020955
Austria,AUT,2006,1746185
Austria,AUT,2007,1994698
Austria,AUT,2008,2448538
Austria,AUT,2009,2168838
Austria,AUT,2010,1955989
Austria,AUT,2011,2453133
Austria,AUT,2012,2351370
Austria,AUT,2013,1639019
Austria,AUT,2014,2334385
Austria,AUT,2015,1637905
Austria,AUT,2016,2179587
Austria,AUT,2017,2075983
Austria,AUT,2018,2130339
Azerbaijan,AZE,1993,14135
Azerbaijan,AZE,1994,14303
Azerbaijan,AZE,1995,12400
Azerbaijan,AZE,1996,13956
Azerbaijan,AZE,1997,18929
Azerbaijan,AZE,1998,28856
Azerbaijan,AZE,1999,100278
Azerbaijan,AZE,2000,103527
Azerbaijan,AZE,2001,116723
Azerbaijan,AZE,2002,128029
Azerbaijan,AZE,2003,143147
Azerbaijan,AZE,2004,152927
Azerbaijan,AZE,2005,151389
Azerbaijan,AZE,2006,145883
Azerbaijan,AZE,2007,158192
Azerbaijan,AZE,2008,158620
Azerbaijan,AZE,2009,151172
Azerbaijan,AZE,2010,136061
Azerbaijan,AZE,2011,152306
Azerbaijan,AZE,2012,181930
Azerbaijan,AZE,2013,208178
Azerbaijan,AZE,2014,203596
Azerbaijan,AZE,2015,214090
Azerbaijan,AZE,2016,223991
Azerbaijan,AZE,2017,235669
Azerbaijan,AZE,2018,247939
Bangladesh,BGD,1993,2725
Bangladesh,BGD,1994,2785
Bangladesh,BGD,1995,2675
Bangladesh,BGD,1996,2695
Bangladesh,BGD,1997,2650
Bangladesh,BGD,1998,2970
Bangladesh,BGD,1999,4000
Bangladesh,BGD,2000,10000
Bangladesh,BGD,2001,64335
Bangladesh,BGD,2002,117255
Bangladesh,BGD,2003,117255
Bangladesh,BGD,2004,241460
Bangladesh,BGD,2005,356280
Bangladesh,BGD,2006,521525
Bangladesh,BGD,2007,902150
Bangladesh,BGD,2008,1346470
Bangladesh,BGD,2009,729629
Bangladesh,BGD,2010,887391
Bangladesh,BGD,2011,1018287
Bangladesh,BGD,2012,1297717
Bangladesh,BGD,2013,1548000
Bangladesh,BGD,2014,2124000
Bangladesh,BGD,2015,2271998
Bangladesh,BGD,2016,2445576
Bangladesh,BGD,2017,3025392
Bangladesh,BGD,2018,3288102
Belarus,BLR,1993,6000
Belarus,BLR,1994,1000
Belarus,BLR,1995,2700
Belarus,BLR,1996,4600
Belarus,BLR,1997,6100
Belarus,BLR,1998,6100
Belarus,BLR,1999,9900
Belarus,BLR,2000,30000
Belarus,BLR,2001,31100
Belarus,BLR,2002,29600
Belarus,BLR,2003,50156
Belarus,BLR,2004,38774
Belarus,BLR,2005,144055
Belarus,BLR,2006,152631
Belarus,BLR,2007,541066
Belarus,BLR,2008,494653
Belarus,BLR,2009,448663
Belarus,BLR,2010,550586
Belarus,BLR,2011,1213124
Belarus,BLR,2012,954483
Belarus,BLR,2013,1119785
Belarus,BLR,2014,599455
Belarus,BLR,2015,222991
Belarus,BLR,2016,740511
Belarus,BLR,2017,694238
Belarus,BLR,2018,1137932
Bhutan,BTN,1993,50000
Bhutan,BTN,1994,60000
Bhutan,BTN,1995,70000
Bhutan,BTN,1996,80000
Bhutan,BTN,1997,85000
Bhutan,BTN,1998,85000
Bhutan,BTN,1999,70000
Bhutan,BTN,2000,48500
Bhutan,BTN,2001,60000
Bhutan,BTN,2002,41412
Bhutan,BTN,2003,49681
Bhutan,BTN,2004,88231
Bhutan,BTN,2005,93968
Bhutan,BTN,2006,80079
Bhutan,BTN,2007,84729
Bhutan,BTN,2008,69252
