Country,Code,Year,Maize_Yield_Hg_Per_Ha
Afghanistan,AFG,1993,16786
Afghanistan,AFG,1994,16667
Afghanistan,AFG,1995,16563
Afghanistan,AFG,1996,16364
Afghanistan,AFG,1997,15000
Afghanistan,AFG,1998,16500
Afghanistan,AFG,1999,15000
Afghanistan,AFG,2000,11979
Afghanistan,AFG,2001,20000
Afghanistan,AFG,2002,29800
Afghanistan,AFG,2003,8400
Afghanistan,AFG,2004,16000
Afghanistan,AFG,2005,12069
Afghanistan,AFG,2006,26204
Afghanistan,AFG,2007,26277
Afghanistan,AFG,2008,26277
Afghanistan,AFG,2009,21429
Afghanistan,AFG,2010,16448
Afghanistan,AFG,2011,16400
Afghanistan,AFG,2012,21986
Afghanistan,AFG,2013,21972
Afghanistan,AFG,2014,24882
Afghanistan,AFG,2015,21457
Afghanistan,AFG,2016,20517
Afghanistan,AFG,2017,12957
Afghanistan,AFG,2018,14727
Albania,ALB,1993,24185
Albania,ALB,1994,25848
Albania,ALB,1995,31300
Albania,ALB,1996,32604
Albania,ALB,1997,31862
Albania,ALB,1998,33416
Albania,ALB,1999,37455
Albania,ALB,2000,38811
Albania,ALB,2001,38135
Albania,ALB,2002,39460
Albania,ALB,2003,42805
Albania,ALB,2004,46197
Albania,ALB,2005,45442
Albania,ALB,2006,50111
Albania,ALB,2007,46732
Albania,ALB,2008,50000
Albania,ALB,2009,55693
Albania,ALB,2010,66790
Albania,ALB,2011,59869
Albania,ALB,2012,67290
Albania,ALB,2013,69533
Albania,ALB,2014,69091
Albania,ALB,2015,69597
Albania,ALB,2016,64877
Albania,ALB,2017,65632
Albania,ALB,2018,72273
Algeria,DZA,1993,12500
Algeria,DZA,1994,4512
Algeria,DZA,1995,16115
Algeria,DZA,1996,17154
Algeria,DZA,1997,21417
Algeria,DZA,1998,17222
Algeria,DZA,1999,22375
Algeria,DZA,2000,36186
Algeria,DZA,2001,27175
Algeria,DZA,2002,33480
Algeria,DZA,2003,28853
Algeria,DZA,2004,31729
Algeria,DZA,2005,33864
Algeria,DZA,2006,65668
Algeria,DZA,2007,85625
Algeria,DZA,2008,44714
Algeria,DZA,2009,30914
Algeria,DZA,2010,25827
Algeria,DZA,2011,23374
Algeria,DZA,2012,25583
Algeria,DZA,2013,33649
Algeria,DZA,2014,26165
Algeria,DZA,2015,39242
Algeria,DZA,2016,45122
Algeria,DZA,2017,13007
Algeria,DZA,2018,18407
Angola,AGO,1993,2627
Angola,AGO,1994,2463
Angola,AGO,1995,3517
Angola,AGO,1996,6993
Angola,AGO,1997,5959
Angola,AGO,1998,7396
Angola,AGO,1999,6361
Angola,AGO,2000,5745
Angola,AGO,2001,5754
Angola,AGO,2002,6706
Angola,AGO,2003,7559
Angola,AGO,2004,5404
Angola,AGO,2005,6736
Angola,AGO,2006,4687
Angola,AGO,2007,5091
Angola,AGO,2008,7946
Angola,AGO,2009,6614
Angola,AGO,2010,7200
Angola,AGO,2011,7376
Angola,AGO,2012,7770
Angola,AGO,2013,9467
Angola,AGO,2014,10386
Angola,AGO,2015,11234
Angola,AGO,2016,8717
Angola,AGO,2017,8467
Angola,AGO,2018,8555
Argentina,ARG,1993,43552
Argentina,ARG,1994,42371
Argentina,ARG,1995,45223
Argentina,ARG,1996,40397
Argentina,ARG,1997,45557
Argentina,ARG,1998,60780
Argentina,ARG,1999,53702
Argentina,ARG,2000,54329
Argentina,ARG,2001,54553
