Country,Code,Year,Rice_Prod_Tones
Afghanistan,AFG,1993,2881874
Afghanistan,AFG,1994,3030114
Afghanistan,AFG,1995,3112309
Afghanistan,AFG,1996,3128695
Afghanistan,AFG,1997,3549523
Afghanistan,AFG,1998,3725656
Afghanistan,AFG,1999,3163156
Afghanistan,AFG,2000,1853420
Afghanistan,AFG,2001,2027414
Afghanistan,AFG,2002,3607796
Afghanistan,AFG,2003,4236478
Afghanistan,AFG,2004,3405821
Afghanistan,AFG,2005,5263495
Afghanistan,AFG,2006,4458180
Afghanistan,AFG,2007,5602184
Afghanistan,AFG,2008,3746204
Afghanistan,AFG,2009,6299215
Afghanistan,AFG,2010,5733224
Afghanistan,AFG,2011,4457244
Afghanistan,AFG,2012,6212500
Afghanistan,AFG,2013,6349802
Afghanistan,AFG,2014,6569158
Afghanistan,AFG,2015,5679621
Afghanistan,AFG,2016,5418579
Afghanistan,AFG,2017,4787357
Afghanistan,AFG,2018,4023293
Albania,ALB,1993,665525
Albania,ALB,1994,646026
Albania,ALB,1995,645400
Albania,ALB,1996,503714
Albania,ALB,1997,602043
Albania,ALB,1998,605746
Albania,ALB,1999,497500
Albania,ALB,2000,565800
Albania,ALB,2001,502500
Albania,ALB,2002,518800
Albania,ALB,2003,488500
Albania,ALB,2004,498800
Albania,ALB,2005,511200
Albania,ALB,2006,507500
Albania,ALB,2007,493600
Albania,ALB,2008,608500
Albania,ALB,2009,630900
Albania,ALB,2010,693800
Albania,ALB,2011,701200
Albania,ALB,2012,697400
Albania,ALB,2013,702870
Albania,ALB,2014,700370
Albania,ALB,2015,695000
Albania,ALB,2016,698430
Albania,ALB,2017,701734
Albania,ALB,2018,678196
Algeria,DZA,1993,1453024
Algeria,DZA,1994,964330
Algeria,DZA,1995,2139320
Algeria,DZA,1996,4901321
Algeria,DZA,1997,869917
Algeria,DZA,1998,3025933
Algeria,DZA,1999,2020901
Algeria,DZA,2000,934511
Algeria,DZA,2001,2659455
Algeria,DZA,2002,1953192
Algeria,DZA,2003,4266246
Algeria,DZA,2004,4033104
Algeria,DZA,2005,3527694
Algeria,DZA,2006,4017985
Algeria,DZA,2007,3602140
Algeria,DZA,2008,1535891
Algeria,DZA,2009,5253366
Algeria,DZA,2010,4211266
Algeria,DZA,2011,4247443
Algeria,DZA,2012,5137370
Algeria,DZA,2013,4912444
Algeria,DZA,2014,3435428
Algeria,DZA,2015,3761155
Algeria,DZA,2016,3445124
Algeria,DZA,2017,3478068
Algeria,DZA,2018,6064776
Angola,AGO,1993,320668
Angola,AGO,1994,278007
Angola,AGO,1995,289673
Angola,AGO,1996,514714
Angola,AGO,1997,444892
Angola,AGO,1998,606282
Angola,AGO,1999,538718
Angola,AGO,2000,517712
Angola,AGO,2001,599343
Angola,AGO,2002,732191
Angola,AGO,2003,732935
Angola,AGO,2004,738012
Angola,AGO,2005,912006
Angola,AGO,2006,722029
Angola,AGO,2007,779420
Angola,AGO,2008,751909
Angola,AGO,2009,1052085
Angola,AGO,2010,1176051
Angola,AGO,2011,1405097
Angola,AGO,2012,502388
Angola,AGO,2013,1662075
