Country,Code,Year,Rice_Yield_Hg_Per_Ha
Afghanistan,AFG,1993,10950
Afghanistan,AFG,1994,10991
Afghanistan,AFG,1995,11659
Afghanistan,AFG,1996,11624
Afghanistan,AFG,1997,13000
Afghanistan,AFG,1998,13344
Afghanistan,AFG,1999,12488
Afghanistan,AFG,2000,7703
Afghanistan,AFG,2001,9682
Afghanistan,AFG,2002,16121
Afghanistan,AFG,2003,14100
Afghanistan,AFG,2004,12770
Afghanistan,AFG,2005,17371
Afghanistan,AFG,2006,14915
Afghanistan,AFG,2007,18544
Afghanistan,AFG,2008,13803
Afghanistan,AFG,2009,19734
Afghanistan,AFG,2010,19356
Afghanistan,AFG,2011,15806
Afghanistan,AFG,2012,19766
Afghanistan,AFG,2013,19950
Afghanistan,AFG,2014,19640
Afghanistan,AFG,2015,20836
Afghanistan,AFG,2016,19394
Afghanistan,AFG,2017,19785
Afghanistan,AFG,2018,21035
Albania,ALB,1993,26843
Albania,ALB,1994,24609
Albania,ALB,1995,28415
Albania,ALB,1996,24509
Albania,ALB,1997,28333
Albania,ALB,1998,28721
Albania,ALB,1999,27981
Albania,ALB,2000,31751
Albania,ALB,2001,30308
Albania,ALB,2002,32919
Albania,ALB,2003,31857
Albania,ALB,2004,34663
Albania,ALB,2005,34621
Albania,ALB,2006,36026
Albania,ALB,2007,37284
Albania,ALB,2008,40812
Albania,ALB,2009,43153
Albania,ALB,2010,47618
Albania,ALB,2011,47507
Albania,ALB,2012,48838
Albania,ALB,2013,49498
Albania,ALB,2014,48926
Albania,ALB,2015,48738
Albania,ALB,2016,47164
Albania,ALB,2017,48130
Albania,ALB,2018,48405
Algeria,DZA,1993,7415
Algeria,DZA,1994,7491
Algeria,DZA,1995,8293
Algeria,DZA,1996,13377
Algeria,DZA,1997,7797
Algeria,DZA,1998,8462
Algeria,DZA,1999,10699
Algeria,DZA,2000,8831
Algeria,DZA,2001,11068
Algeria,DZA,2002,10585
Algeria,DZA,2003,14702
Algeria,DZA,2004,13440
Algeria,DZA,2005,15007
Algeria,DZA,2006,15036
Algeria,DZA,2007,12534
Algeria,DZA,2008,10339
Algeria,DZA,2009,16539
Algeria,DZA,2010,14742
Algeria,DZA,2011,16433
Algeria,DZA,2012,16775
Algeria,DZA,2013,18131
Algeria,DZA,2014,13691
Algeria,DZA,2015,14001
Algeria,DZA,2016,10203
Algeria,DZA,2017,9903
Algeria,DZA,2018,17587
Angola,AGO,1993,2669
Angola,AGO,1994,2911
Angola,AGO,1995,3929
Angola,AGO,1996,6472
Angola,AGO,1997,5623
Angola,AGO,1998,6978
Angola,AGO,1999,6175
Angola,AGO,2000,5623
Angola,AGO,2001,5837
Angola,AGO,2002,6258
Angola,AGO,2003,6429
Angola,AGO,2004,4888
Angola,AGO,2005,5815
Angola,AGO,2006,4451
Angola,AGO,2007,4633
Angola,AGO,2008,6503
Angola,AGO,2009,5688
Angola,AGO,2010,6262
Angola,AGO,2011,6587
Angola,AGO,2012,5442
Angola,AGO,2013,8083
Angola,AGO,2014,8813
Angola,AGO,2015,9751
Angola,AGO,2016,7734
