Country,Code,Year,Wheat_Prod_Tones
Afghanistan,AFG,1993,1940000
Afghanistan,AFG,1994,2050000
Afghanistan,AFG,1995,2100000
Afghanistan,AFG,1996,2300000
Afghanistan,AFG,1997,2711000
Afghanistan,AFG,1998,2834000
Afghanistan,AFG,1999,2499000
Afghanistan,AFG,2000,1469000
Afghanistan,AFG,2001,1597000
Afghanistan,AFG,2002,2686000
Afghanistan,AFG,2003,3480000
Afghanistan,AFG,2004,2390000
Afghanistan,AFG,2005,4266000
Afghanistan,AFG,2006,3363000
Afghanistan,AFG,2007,4484000
Afghanistan,AFG,2008,2623000
Afghanistan,AFG,2009,5064000
Afghanistan,AFG,2010,4532000
Afghanistan,AFG,2011,3388000
Afghanistan,AFG,2012,5050000
Afghanistan,AFG,2013,5169235
Afghanistan,AFG,2014,5370259
Afghanistan,AFG,2015,4673040
Afghanistan,AFG,2016,4555110
Afghanistan,AFG,2017,4280776
Afghanistan,AFG,2018,3613300
Albania,ALB,1993,464498
Albania,ALB,1994,420000
Albania,ALB,1995,405342
Albania,ALB,1996,271150
Albania,ALB,1997,388391
Albania,ALB,1998,395067
Albania,ALB,1999,272000
Albania,ALB,2000,341100
Albania,ALB,2001,282200
Albania,ALB,2002,295300
Albania,ALB,2003,259900
Albania,ALB,2004,253400
Albania,ALB,2005,260000
Albania,ALB,2006,230900
Albania,ALB,2007,249500
Albania,ALB,2008,335000
Albania,ALB,2009,333100
Albania,ALB,2010,294900
Albania,ALB,2011,292800
Albania,ALB,2012,300000
Albania,ALB,2013,294000
Albania,ALB,2014,280000
Albania,ALB,2015,275000
Albania,ALB,2016,275000
Albania,ALB,2017,274877
Albania,ALB,2018,240294
Algeria,DZA,1993,1016500
Algeria,DZA,1994,713964
Algeria,DZA,1995,1499920
Algeria,DZA,1996,2982604
Algeria,DZA,1997,661514
Algeria,DZA,1998,2280000
Algeria,DZA,1999,1470000
Algeria,DZA,2000,760361
Algeria,DZA,2001,2039213
Algeria,DZA,2002,1501803
Algeria,DZA,2003,2964852
Algeria,DZA,2004,2730700
Algeria,DZA,2005,2414728
Algeria,DZA,2006,2687930
Algeria,DZA,2007,2318963
Algeria,DZA,2008,1111033
Algeria,DZA,2009,2953117
Algeria,DZA,2010,2605178
Algeria,DZA,2011,2910890
Algeria,DZA,2012,3432231
Algeria,DZA,2013,3299049
Algeria,DZA,2014,2436197
Algeria,DZA,2015,2656731
Algeria,DZA,2016,2440097
Algeria,DZA,2017,2436503
Algeria,DZA,2018,3981219
Angola,AGO,1993,3000
Angola,AGO,1994,3000
Angola,AGO,1995,5000
Angola,AGO,1996,5236
Angola,AGO,1997,5503
Angola,AGO,1998,6000
Angola,AGO,1999,4000
Angola,AGO,2000,4000
Angola,AGO,2001,4000
Angola,AGO,2002,4000
Angola,AGO,2003,3937
Angola,AGO,2004,3941
Angola,AGO,2005,4000
Angola,AGO,2006,4000
Angola,AGO,2007,4000
Angola,AGO,2008,4000
Angola,AGO,2009,4000
Angola,AGO,2010,4000
Angola,AGO,2011,4000
Angola,AGO,2012,3840
Angola,AGO,2013,3214
Angola,AGO,2014,2848
Angola,AGO,2015,2709
Angola,AGO,2016,2924
Angola,AGO,2017,2827
Angola,AGO,2018,2820
Argentina,ARG,1993,9995900
Argentina,ARG,1994,9736500
Argentina,ARG,1995,11406460
Argentina,ARG,1996,9542315
Argentina,ARG,1997,16106700
Argentina,ARG,1998,15086820
Argentina,ARG,1999,12600600
Argentina,ARG,2000,15478660
Argentina,ARG,2001,16146620
Argentina,ARG,2002,15427820
Argentina,ARG,2003,12399040
Argentina,ARG,2004,14710175
Argentina,ARG,2005,16139170
Argentina,ARG,2006,12721976
Argentina,ARG,2007,14662945
Argentina,ARG,2008,16486532
Argentina,ARG,2009,8508156
Argentina,ARG,2010,9016373
Argentina,ARG,2011,16067929
Argentina,ARG,2012,14683475
Argentina,ARG,2013,8134409
Argentina,ARG,2014,9188339
Argentina,ARG,2015,13930078
Argentina,ARG,2016,11314952
Argentina,ARG,2017,18395106
Argentina,ARG,2018,18518045
Armenia,ARM,1993,217900
Armenia,ARM,1994,152900
Armenia,ARM,1995,153800
Armenia,ARM,1996,201400
Armenia,ARM,1997,183700
Armenia,ARM,1998,244300
Armenia,ARM,1999,214380
Armenia,ARM,2000,177762
Armenia,ARM,2001,241679
Armenia,ARM,2002,284670
Armenia,ARM,2003,216698
Armenia,ARM,2004,291556
Armenia,ARM,2005,258361
Armenia,ARM,2006,146544
Armenia,ARM,2007,254233
Armenia,ARM,2008,225734
Armenia,ARM,2009,198080
Armenia,ARM,2010,183464
Armenia,ARM,2011,224082
Armenia,ARM,2012,243130
Armenia,ARM,2013,311558
Armenia,ARM,2014,338158
Armenia,ARM,2015,362746
Armenia,ARM,2016,350369
Armenia,ARM,2017,176428
Armenia,ARM,2018,187453
Australia,AUS,1993,16479000
Australia,AUS,1994,8961000
Australia,AUS,1995,16504000
Australia,AUS,1996,23702000
Australia,AUS,1997,19224000
Australia,AUS,1998,22108000
Australia,AUS,1999,24757000
Australia,AUS,2000,22108000
Australia,AUS,2001,22108078
Australia,AUS,2002,24299335
Australia,AUS,2003,10131924
Australia,AUS,2004,26131870
Australia,AUS,2005,21905113
Australia,AUS,2006,25150343
Australia,AUS,2007,10821628
Australia,AUS,2008,13569378
Australia,AUS,2009,21420177
Australia,AUS,2010,21834010
Australia,AUS,2011,27410076
Australia,AUS,2012,29905009
Australia,AUS,2013,22855576
Australia,AUS,2014,25303037
Australia,AUS,2015,23742560
Australia,AUS,2016,22274514
Australia,AUS,2017,31818744
Australia,AUS,2018,20941134
Austria,AUT,1993,1018013
Austria,AUT,1994,1255122
Austria,AUT,1995,1301445
Austria,AUT,1996,1239723
Austria,AUT,1997,1352281
Austria,AUT,1998,1341820
Austria,AUT,1999,1416200
Austria,AUT,2000,1312962
Austria,AUT,2001,1508283
Austria,AUT,2002,1434208
Austria,AUT,2003,1191380
Austria,AUT,2004,1718825
Austria,AUT,2005,1453072
Austria,AUT,2006,1396300
Austria,AUT,2007,1399341
Austria,AUT,2008,1689688
Austria,AUT,2009,1523368
Austria,AUT,2010,1517805
Austria,AUT,2011,1781837
Austria,AUT,2012,1275498
Austria,AUT,2013,1597706
Austria,AUT,2014,1804018
Austria,AUT,2015,1725737
Austria,AUT,2016,1970364
Austria,AUT,2017,1437143
Austria,AUT,2018,1370960
Azerbaijan,AZE,1993,840960
Azerbaijan,AZE,1994,739245
Azerbaijan,AZE,1995,625575
Azerbaijan,AZE,1996,758861
Azerbaijan,AZE,1997,896422
Azerbaijan,AZE,1998,798262
Azerbaijan,AZE,1999,846030
Azerbaijan,AZE,2000,1150281
Azerbaijan,AZE,2001,1493741
Azerbaijan,AZE,2002,1692818
Azerbaijan,AZE,2003,1509557
Azerbaijan,AZE,2004,1573006
Azerbaijan,AZE,2005,1527026
Azerbaijan,AZE,2006,1460303
Azerbaijan,AZE,2007,1305458
Azerbaijan,AZE,2008,1645792
Azerbaijan,AZE,2009,2096203
Azerbaijan,AZE,2010,1272340
Azerbaijan,AZE,2011,1594394
Azerbaijan,AZE,2012,1797028
Azerbaijan,AZE,2013,1841307
Azerbaijan,AZE,2014,1407405
Azerbaijan,AZE,2015,1639830
Azerbaijan,AZE,2016,1799859
Azerbaijan,AZE,2017,1769574
Azerbaijan,AZE,2018,1991683
Bangladesh,BGD,1993,1175630
Bangladesh,BGD,1994,1131000
Bangladesh,BGD,1995,1244990
Bangladesh,BGD,1996,1369130
Bangladesh,BGD,1997,1454100
Bangladesh,BGD,1998,1802815
Bangladesh,BGD,1999,1908000
Bangladesh,BGD,2000,1840000
Bangladesh,BGD,2001,1673000
Bangladesh,BGD,2002,1606000
Bangladesh,BGD,2003,1506710
Bangladesh,BGD,2004,1253380
Bangladesh,BGD,2005,975985
Bangladesh,BGD,2006,735000
Bangladesh,BGD,2007,737000
Bangladesh,BGD,2008,844000
Bangladesh,BGD,2009,849046
Bangladesh,BGD,2010,901490
Bangladesh,BGD,2011,972085
Bangladesh,BGD,2012,995356
Bangladesh,BGD,2013,1255000
Bangladesh,BGD,2014,1303000
Bangladesh,BGD,2015,1348000
Bangladesh,BGD,2016,1348186
Bangladesh,BGD,2017,1311473
Bangladesh,BGD,2018,1099373
Belarus,BLR,1993,354100
Belarus,BLR,1994,230300
Belarus,BLR,1995,438800
Belarus,BLR,1996,600300
Belarus,BLR,1997,743900
Belarus,BLR,1998,787700
Belarus,BLR,1999,711400
Belarus,BLR,2000,965800
Belarus,BLR,2001,867200
Belarus,BLR,2002,1017000
Belarus,BLR,2003,795594
Belarus,BLR,2004,1120912
Belarus,BLR,2005,1174763
Belarus,BLR,2006,1075238
Belarus,BLR,2007,1396553
Belarus,BLR,2008,2045237
Belarus,BLR,2009,1979000
Belarus,BLR,2010,1739110
Belarus,BLR,2011,2132369
Belarus,BLR,2012,2553570
Belarus,BLR,2013,2101183
Belarus,BLR,2014,2925079
Belarus,BLR,2015,2896411
Belarus,BLR,2016,2339829
Belarus,BLR,2017,2620230
Belarus,BLR,2018,1814765
Bhutan,BTN,1993,7000
Bhutan,BTN,1994,10000
Bhutan,BTN,1995,13000
Bhutan,BTN,1996,17000
Bhutan,BTN,1997,20000
Bhutan,BTN,1998,20000
Bhutan,BTN,1999,20000
Bhutan,BTN,2000,4350
Bhutan,BTN,2001,4500
Bhutan,BTN,2002,4582
Bhutan,BTN,2003,4763
Bhutan,BTN,2004,4191
Bhutan,BTN,2005,11306
Bhutan,BTN,2006,9100
Bhutan,BTN,2007,8879
Bhutan,BTN,2008,5828
Bhutan,BTN,2009,4481
Bhutan,BTN,2010,4873
Bhutan,BTN,2011,6266
Bhutan,BTN,2012,5038
Bhutan,BTN,2013,5310
Bhutan,BTN,2014,5172
Bhutan,BTN,2015,3730
Bhutan,BTN,2016,2521
Bhutan,BTN,2017,3818
Bhutan,BTN,2018,4141
Bolivia,BOL,1993,145129
Bolivia,BOL,1994,82323
Bolivia,BOL,1995,122805
Bolivia,BOL,1996,98820
Bolivia,BOL,1997,168547
Bolivia,BOL,1998,175426
Bolivia,BOL,1999,150012
Bolivia,BOL,2000,101510
Bolivia,BOL,2001,112659
Bolivia,BOL,2002,119102
Bolivia,BOL,2003,112930
Bolivia,BOL,2004,116037
Bolivia,BOL,2005,131198
Bolivia,BOL,2006,143677
