Country,Code,Year,Wheat_Yield_Hg_Per_Ha
Afghanistan,AFG,1993,10211
Afghanistan,AFG,1994,10250
Afghanistan,AFG,1995,10895
Afghanistan,AFG,1996,11220
Afghanistan,AFG,1997,12764
Afghanistan,AFG,1998,12964
Afghanistan,AFG,1999,12329
Afghanistan,AFG,2000,7240
Afghanistan,AFG,2001,8977
Afghanistan,AFG,2002,15419
Afghanistan,AFG,2003,15000
Afghanistan,AFG,2004,12659
Afghanistan,AFG,2005,18215
Afghanistan,AFG,2006,13760
Afghanistan,AFG,2007,18183
Afghanistan,AFG,2008,12263
Afghanistan,AFG,2009,19666
Afghanistan,AFG,2010,19252
Afghanistan,AFG,2011,15179
Afghanistan,AFG,2012,20104
Afghanistan,AFG,2013,20248
Afghanistan,AFG,2014,20237
Afghanistan,AFG,2015,21959
Afghanistan,AFG,2016,19803
Afghanistan,AFG,2017,20342
Afghanistan,AFG,2018,22100
Albania,ALB,1993,29976
Albania,ALB,1994,24745
Albania,ALB,1995,28703
Albania,ALB,1996,21741
Albania,ALB,1997,28516
Albania,ALB,1998,28037
Albania,ALB,1999,24954
Albania,ALB,2000,30455
Albania,ALB,2001,28220
Albania,ALB,2002,31617
Albania,ALB,2003,28629
Albania,ALB,2004,31130
Albania,ALB,2005,31582
Albania,ALB,2006,30787
Albania,ALB,2007,35496
Albania,ALB,2008,40168
Albania,ALB,2009,40229
Albania,ALB,2010,39905
Albania,ALB,2011,42301
Albania,ALB,2012,41096
Albania,ALB,2013,41292
Albania,ALB,2014,40001
Albania,ALB,2015,39511
Albania,ALB,2016,39000
Albania,ALB,2017,40367
Albania,ALB,2018,36927
Algeria,DZA,1993,8097
Algeria,DZA,1994,7999
Algeria,DZA,1995,8924
Algeria,DZA,1996,13090
Algeria,DZA,1997,8016
Algeria,DZA,1998,8847
Algeria,DZA,1999,10711
Algeria,DZA,2000,9194
Algeria,DZA,2001,11104
Algeria,DZA,2002,10739
Algeria,DZA,2003,14480
Algeria,DZA,2004,13582
Algeria,DZA,2005,15057
Algeria,DZA,2006,15068
Algeria,DZA,2007,12742
Algeria,DZA,2008,11038
Algeria,DZA,2009,15975
Algeria,DZA,2010,14838
Algeria,DZA,2011,17405
Algeria,DZA,2012,17639
Algeria,DZA,2013,19100
Algeria,DZA,2014,14753
Algeria,DZA,2015,14640
Algeria,DZA,2016,11833
Algeria,DZA,2017,11501
Algeria,DZA,2018,19076
Angola,AGO,1993,8862
Angola,AGO,1994,10000
Angola,AGO,1995,11865
Angola,AGO,1996,13758
Angola,AGO,1997,15529
Angola,AGO,1998,17143
Angola,AGO,1999,17391
Angola,AGO,2000,17025
Angola,AGO,2001,16667
Angola,AGO,2002,15485
Angola,AGO,2003,13879
Angola,AGO,2004,12412
Angola,AGO,2005,10860
Angola,AGO,2006,10000
Angola,AGO,2007,10000
Angola,AGO,2008,10000
Angola,AGO,2009,10000
Angola,AGO,2010,10526
Angola,AGO,2011,10959
Angola,AGO,2012,11294
Angola,AGO,2013,9399
Angola,AGO,2014,7629
Angola,AGO,2015,10745
Angola,AGO,2016,10796
Angola,AGO,2017,10866
Angola,AGO,2018,10935
Argentina,ARG,1993,23272
Argentina,ARG,1994,20237
Argentina,ARG,1995,21675
Argentina,ARG,1996,19344
Argentina,ARG,1997,22426
Argentina,ARG,1998,26088
Argentina,ARG,1999,23028
Argentina,ARG,2000,24873
Argentina,ARG,2001,24934
Argentina,ARG,2002,22398
Argentina,ARG,2003,20361
Argentina,ARG,2004,25441
Argentina,ARG,2005,26356
Argentina,ARG,2006,25302
Argentina,ARG,2007,26234
Argentina,ARG,2008,28271
Argentina,ARG,2009,19628
Argentina,ARG,2010,27113
Argentina,ARG,2011,35063
Argentina,ARG,2012,32199
Argentina,ARG,2013,26581
Argentina,ARG,2014,26619
Argentina,ARG,2015,28100
Argentina,ARG,2016,28623
Argentina,ARG,2017,33047
Argentina,ARG,2018,31806
Armenia,ARM,1993,22257
Armenia,ARM,1994,17842
Armenia,ARM,1995,25480
